,country,happiness_rank,happiness_score,gdp_per_capita,social_support,life_expectancy,freedom,perception_of_corruption,generosity
49,Ecuador,50,6.028,0.912,1.312,0.868,0.498,0.087,0.126
50,Kuwait,51,6.021,1.5,1.319,0.808,0.493,0.097,0.142
51,Thailand,52,6.008,1.05,1.409,0.828,0.557,0.028,0.359
52,Latvia,53,5.94,1.187,1.465,0.812,0.264,0.064,0.075
53,South Korea,54,5.895,1.301,1.219,1.036,0.159,0.056,0.175
54,Estonia,55,5.893,1.237,1.528,0.874,0.495,0.161,0.103
55,Jamaica,56,5.89,0.831,1.478,0.831,0.49,0.028,0.107
56,Mauritius,57,5.888,1.12,1.402,0.798,0.498,0.06,0.215
57,Japan,58,5.886,1.327,1.419,1.088,0.445,0.14,0.069
58,Honduras,59,5.86,0.642,1.236,0.828,0.507,0.078,0.246
59,Kazakhstan,60,5.809,1.173,1.508,0.729,0.41,0.096,0.146
60,Bolivia,61,5.779,0.776,1.209,0.706,0.511,0.064,0.137
61,Hungary,62,5.758,1.201,1.41,0.828,0.199,0.02,0.081
62,Paraguay,63,5.743,0.855,1.475,0.777,0.514,0.08,0.184
64,Peru,65,5.697,0.96,1.274,0.854,0.455,0.027,0.083
65,Portugal,66,5.693,1.221,1.431,0.999,0.508,0.025,0.047
66,Pakistan,67,5.653,0.677,0.886,0.535,0.313,0.098,0.22
67,Russia,68,5.648,1.183,1.452,0.726,0.334,0.031,0.082
68,Philippines,69,5.631,0.807,1.293,0.657,0.558,0.107,0.117
69,Serbia,70,5.603,1.004,1.383,0.854,0.282,0.039,0.137
70,Moldova,71,5.529,0.685,1.328,0.739,0.245,0.0,0.181
71,Libya,72,5.525,1.044,1.303,0.673,0.416,0.152,0.133
72,Montenegro,73,5.523,1.051,1.361,0.871,0.197,0.08,0.142
73,Tajikistan,74,5.467,0.493,1.098,0.718,0.389,0.144,0.23
74,Croatia,75,5.432,1.155,1.266,0.914,0.296,0.022,0.119
75,Hong Kong,76,5.43,1.438,1.277,1.122,0.44,0.287,0.258
76,Dominican Republic,77,5.425,1.015,1.401,0.779,0.497,0.101,0.113
77,Bosnia and Herzegovina,78,5.386,0.945,1.212,0.845,0.212,0.006,0.263
78,Turkey,79,5.373,1.183,1.36,0.808,0.195,0.106,0.083
80,Belarus,81,5.323,1.067,1.465,0.789,0.235,0.142,0.094
81,Greece,82,5.287,1.181,1.156,0.999,0.067,0.034,0.0
82,Mongolia,83,5.285,0.948,1.531,0.667,0.317,0.038,0.235
84,Nigeria,85,5.265,0.696,1.111,0.245,0.426,0.041,0.215
85,Kyrgyzstan,86,5.261,0.551,1.438,0.723,0.508,0.023,0.3
88,Morocco,89,5.208,0.801,0.782,0.782,0.418,0.076,0.036
89,Azerbaijan,90,5.208,1.043,1.147,0.769,0.351,0.182,0.035
90,Lebanon,91,5.197,0.987,1.224,0.815,0.216,0.027,0.166
91,Indonesia,92,5.192,0.931,1.203,0.66,0.491,0.028,0.498
92,China,93,5.191,1.029,1.125,0.893,0.521,0.1,0.058
93,Vietnam,94,5.175,0.741,1.346,0.851,0.543,0.073,0.147
94,Bhutan,95,5.082,0.813,1.321,0.604,0.457,0.167,0.37
95,Cameroon,96,5.044,0.549,0.91,0.331,0.381,0.037,0.187
96,Bulgaria,97,5.011,1.092,1.513,0.815,0.311,0.004,0.081
97,Ghana,98,4.996,0.611,0.868,0.486,0.381,0.04,0.245
98,Ivory Coast,99,4.944,0.569,0.808,0.232,0.352,0.09,0.154
99,Nepal,100,4.913,0.446,1.226,0.677,0.439,0.089,0.285
100,Jordan,101,4.906,0.837,1.225,0.815,0.383,0.13,0.11
101,Benin,102,4.883,0.393,0.437,0.397,0.349,0.082,0.175
102,Congo (Brazzaville),103,4.812,0.673,0.799,0.508,0.372,0.093,0.105
103,Gabon,104,4.799,1.057,1.183,0.571,0.295,0.055,0.043
104,Laos,105,4.796,0.764,1.03,0.551,0.547,0.164,0.266
105,South Africa,106,4.722,0.96,1.351,0.469,0.389,0.055,0.13
106,Albania,107,4.719,0.947,0.848,0.874,0.383,0.027,0.178
107,Venezuela,108,4.707,0.96,1.427,0.805,0.154,0.047,0.064
108,Cambodia,109,4.7,0.574,1.122,0.637,0.609,0.062,0.232
109,Palestinian Territories,110,4.696,0.657,1.247,0.672,0.225,0.066,0.103
110,Senegal,111,4.681,0.45,1.134,0.571,0.292,0.072,0.153
113,Niger,114,4.628,0.138,0.774,0.366,0.318,0.102,0.188
114,Burkina Faso,115,4.587,0.331,1.056,0.38,0.255,0.113,0.177
115,Armenia,116,4.559,0.85,1.055,0.815,0.283,0.064,0.095
116,Iran,117,4.548,1.1,0.842,0.785,0.305,0.125,0.27
117,Guinea,118,4.534,0.38,0.829,0.375,0.332,0.086,0.207
118,Georgia,119,4.519,0.886,0.666,0.752,0.346,0.164,0.043
120,Kenya,121,4.509,0.512,0.983,0.581,0.431,0.053,0.372
121,Mauritania,122,4.49,0.57,1.167,0.489,0.066,0.088,0.106
122,Mozambique,123,4.466,0.204,0.986,0.39,0.494,0.138,0.197
123,Tunisia,124,4.461,0.921,1.0,0.815,0.167,0.055,0.059
124,Bangladesh,125,4.456,0.562,0.928,0.723,0.527,0.143,0.166
125,Iraq,126,4.437,1.043,0.98,0.574,0.241,0.089,0.148
126,Congo (Kinshasa),127,4.418,0.094,1.125,0.357,0.269,0.053,0.212
127,Mali,128,4.39,0.385,1.105,0.308,0.327,0.052,0.153
128,Sierra Leone,129,4.374,0.268,0.841,0.242,0.309,0.045,0.252
129,Sri Lanka,130,4.366,0.949,1.265,0.831,0.47,0.047,0.244
130,Myanmar,131,4.36,0.71,1.181,0.555,0.525,0.172,0.566
131,Chad,132,4.35,0.35,0.766,0.192,0.174,0.078,0.198
132,Ukraine,133,4.332,0.82,1.39,0.739,0.178,0.01,0.187
133,Ethiopia,134,4.286,0.336,1.033,0.532,0.344,0.1,0.209
135,Uganda,136,4.189,0.332,1.069,0.443,0.356,0.06,0.252
136,Egypt,137,4.166,0.913,1.039,0.644,0.241,0.067,0.076
137,Zambia,138,4.107,0.578,1.058,0.426,0.431,0.087,0.247
138,Togo,139,4.085,0.275,0.572,0.41,0.293,0.085,0.177
139,India,140,4.015,0.755,0.765,0.588,0.498,0.085,0.2
140,Liberia,141,3.975,0.073,0.922,0.443,0.37,0.033,0.233
141,Comoros,142,3.973,0.274,0.757,0.505,0.142,0.078,0.275
142,Madagascar,143,3.933,0.274,0.916,0.555,0.148,0.041,0.169
143,Lesotho,144,3.802,0.489,1.169,0.168,0.359,0.093,0.107
144,Burundi,145,3.775,0.046,0.447,0.38,0.22,0.18,0.176
145,Zimbabwe,146,3.663,0.366,1.114,0.433,0.361,0.089,0.151
146,Haiti,147,3.597,0.323,0.688,0.449,0.026,0.11,0.419
147,Botswana,148,3.488,1.041,1.145,0.538,0.455,0.1,0.025
148,Syria,149,3.462,0.619,0.378,0.44,0.013,0.141,0.331
149,Malawi,150,3.41,0.191,0.56,0.495,0.443,0.089,0.218
150,Yemen,151,3.38,0.287,1.163,0.463,0.143,0.077,0.108
151,Rwanda,152,3.334,0.359,0.711,0.614,0.555,0.411,0.217
152,Tanzania,153,3.231,0.476,0.885,0.499,0.417,0.147,0.276
153,Afghanistan,154,3.203,0.35,0.517,0.361,0.0,0.025,0.158
154,Central African Republic,155,3.083,0.026,0.0,0.105,0.225,0.035,0.235
